epoch,batch_size,hours,value
4,4,10,9.680045338984119
4,8,10,4.021664800895645
4,12,10,2.704658111714527
4,16,10,7.5655282001554784
4,32,10,1.1439163422714524
4,64,10,1.1910756775173408
4,128,10,1.2476642054954816
4,256,10,1.2192828629231172
6,4,10,5.379933932793493
6,8,10,1.6110710883681454
6,12,10,1.1215097736809625
6,16,10,1.2851491349389874
6,32,10,0.9769470731751094
6,64,10,0.8864146994402173
6,128,10,1.0558304024801968
6,256,10,1.1873256108244952
10,4,10,1.0942221648301815
10,8,10,0.8962514526353984
10,12,10,1.1436661476085446
10,16,10,0.9440086564172079
10,32,10,1.1284328124062264
10,64,10,0.8721247461855453
10,128,10,0.9989709697405856
10,256,10,1.146045103390184
14,4,10,5.946277686406101
14,8,10,1.4478953046420304
14,12,10,1.1356702771105676
14,16,10,0.8119479487418622
14,32,10,1.0138383942620268
14,64,10,1.2899001249571078
14,128,10,1.358823623463537
14,256,10,1.4515617242603673
20,4,10,8.777842834900644
20,8,10,3.3384427856719587
20,12,10,0.8407560801413404
20,16,10,0.8450250563138879
20,32,10,0.828773934191206
20,64,10,0.7923491881144699
20,128,10,1.3585662215498073
20,256,10,1.039092456362497
40,4,10,3.4523458417347963
40,8,10,3.2533957662269644
40,12,10,1.758601810408355
40,16,10,1.0673829865550717
40,32,10,0.75834564305892
40,64,10,0.8289973709207387
40,128,10,0.9721860852972584
40,256,10,1.160324853967457
