epoch,batch_size,value
4,4,2.295216892303573
4,8,1.8567808738137725
4,12,4.850657305483501
4,16,6.530945269333882
4,32,2.919675503020637
4,64,0.9915068086818826
4,128,1.2840558444148613
4,256,1.0168696015459118
6,4,2.051413333063592
6,8,0.8288834321145552
6,12,3.4489703314489297
6,16,1.7085967263838482
6,32,0.94377566017957
6,64,0.9730193813379775
6,128,1.9686856843160572
6,256,0.9519495437806422
10,4,1.6397910868962817
10,8,1.258385155812933
10,12,1.780979204363395
10,16,1.2200099812702594
10,32,2.5521377621555805
10,64,0.6870360691696751
10,128,0.9249541916064493
10,256,0.9473486137285209
14,4,1.8115497581726772
14,8,1.418834632706196
14,12,2.053474498281372
14,16,1.8716903420061053
14,32,1.820007777309169
14,64,2.9612125060098626
14,128,0.68208740023249
14,256,1.0161552361992767
20,4,0.847119525121329
20,8,1.0433211690531332
20,12,1.3260423829793575
20,16,1.188659351854881
20,32,1.275545073917417
20,64,0.7590221598596517
20,128,0.9993122404516098
20,256,0.7950496254086756
40,4,0.7838810360626893
40,8,0.8224898261939019
40,12,0.9610714878918893
40,16,0.8304099908039877
40,32,1.1504046388244709
40,64,0.6043038002408783
40,128,0.6576284315417837
40,256,0.7790009669457335
