epoch,batch_size,value
4,4,2.081197276008796
4,8,3.184432804453298
4,12,2.7876260360291325
4,16,6.768415826828406
4,32,1.0681623629620551
4,64,1.1530812747955534
4,128,1.6625534610595325
4,256,1.3806746073809557
6,4,1.598284629888258
6,8,1.7807482072409644
6,12,1.0897610590728073
6,16,2.815669069843687
6,32,1.2587520620494976
6,64,1.5812288590069927
6,128,2.838464579953664
6,256,1.8397881805123335
10,4,1.7553729010247705
10,8,1.5249336636040915
10,12,1.2943950724909317
10,16,2.456853143143996
10,32,1.1304117378627685
10,64,1.3254860898468004
10,128,1.1471380149923238
10,256,1.2796713204655508
14,4,1.3281651999316302
14,8,0.9929890087281996
14,12,1.30663185250407
14,16,1.4147642606756892
14,32,1.6162061369147007
14,64,0.8113485586713838
14,128,4.04929773789858
14,256,1.0127861212086313
20,4,1.1189998427402144
20,8,1.0730688557637484
20,12,1.338109301102668
20,16,1.2380235380788438
20,32,1.5364164479071378
20,64,0.9690365000900916
20,128,1.1255822209256967
20,256,0.7021029832274862
40,4,0.8421535722350432
40,8,0.789829051889295
40,12,1.0855409336374686
40,16,0.770806306922202
40,32,0.8631194472907509
40,64,0.8014661870785305
40,128,1.2061683827518401
40,256,0.8851246820323792
