epoch,batch_size,value
4,4,1.9092990424975123
4,8,4.366428986787701
4,12,3.714168005295503
4,16,3.879274120003131
4,32,3.0907557216908805
4,64,1.6906283194993852
4,128,0.8715650101049436
4,256,0.8703434563571887
6,4,1.3055928417739355
6,8,3.503263414726175
6,12,4.8562111382929025
6,16,3.0855051908630875
6,32,4.36347750028687
6,64,1.0487056017959895
6,128,0.8908295466912739
6,256,1.4901197512258708
10,4,2.007021524704079
10,8,1.2604071955210634
10,12,2.147780505251324
10,16,2.7049856511952024
10,32,4.821692701198012
10,64,2.8881675450165054
10,128,1.308507992905104
10,256,0.8564234461410999
14,4,1.679948088178881
14,8,1.4041363751049742
14,12,2.0740648087088434
14,16,3.340317397613461
14,32,1.796585907373932
14,64,0.7120669638469472
14,128,0.9205106865873027
14,256,0.9332093233198865
20,4,0.9720098418794151
20,8,1.4313655265968432
20,12,1.6700040379897707
20,16,2.1209254281636136
20,32,2.675739743435334
20,64,0.8738316120232986
20,128,1.1596406916185713
20,256,0.8052441011205268
40,4,0.884371452030817
40,8,0.8023356514939425
40,12,1.1514537566076755
40,16,1.0317367447763446
40,32,1.0572314044516997
40,64,1.0311262004107034
40,128,0.6584130414458678
40,256,0.7937577842133666
