H,min_value
1,0.6190521585781102
3,0.6035972491434433
5,0.612572073741236
7,0.6277605119177346
10,0.6661680557679917
12,0.7069505284431508
14,0.7009080332401764
18,0.7210914982393359
21,0.7626230133840609
