H,min_value
1,0.7043751382805715
3,0.6545155373441118
5,0.6918205632861342
7,0.7171179671618823
10,0.75834564305892
12,0.759254905340619
14,0.7534387910258897
18,0.8946692819740532
21,0.9191541987057186
