max_depth,eta,valor
1,0.3,3.16001446125317
1,0.1,1.3501180918724065
1,0.01,0.7592924123162716
2,0.3,0.8279774746597387
2,0.1,1.0593287984318922
2,0.01,0.7713946564506854
3,0.3,0.8233543144951592
3,0.1,0.8078846964468726
3,0.01,0.7549574565683184
4,0.3,0.854327183907436
4,0.1,0.7679015333375919
4,0.01,0.7553569625931292
5,0.3,0.7965580811695819
5,0.1,0.7743793108556755
5,0.01,0.758791963311527
6,0.3,0.7874163069243217
6,0.1,0.7689848565579218
6,0.01,0.7669805457274358
7,0.3,0.8396870805451755
7,0.1,0.7679732340552624
7,0.01,0.7800960056797536
8,0.3,0.870388341053459
8,0.1,0.7961776397502472
8,0.01,0.7895207928928897
9,0.3,0.8886785708825022
9,0.1,0.8137480541300596
9,0.01,0.7939970280699343
10,0.3,0.9176789769703079
10,0.1,0.8514363967947296
10,0.01,0.810446269171366
15,0.3,0.9788388942172129
15,0.1,0.8794939708288892
15,0.01,0.878097913024675
20,0.3,1.0239084795225089
20,0.1,0.9780188415708037
20,0.01,0.9344750788351798
30,0.3,1.0348360842581148
30,0.1,1.0018008487959884
30,0.01,0.9997512161236292
40,0.3,1.0810044781699895
40,0.1,1.0213139538958513
40,0.01,1.0076163939576337
50,0.3,1.046145377989601
50,0.1,1.0201193076441035
50,0.01,0.9969634804176271
75,0.3,1.045946785720611
75,0.1,1.0201193076441035
75,0.01,0.9969634804176271
100,0.3,1.045946785720611
100,0.1,1.0201193076441035
100,0.01,0.9969634804176271
