max_depth,eta,valor
1,0.3,3.1604882221823845
1,0.1,1.372366550586067
1,0.01,0.7678570686693895
2,0.3,0.94289802962997
2,0.1,1.004471601396627
2,0.01,0.7825361199379149
3,0.3,0.9457343584039157
3,0.1,0.8667245477849533
3,0.01,0.7666559588536183
4,0.3,0.9147276921668434
4,0.1,0.7835409175200534
4,0.01,0.7793134473699204
5,0.3,0.8229825444606474
5,0.1,0.7896787388206243
5,0.01,0.7869519958252842
6,0.3,0.8305479838116692
6,0.1,0.8031908126742883
6,0.01,0.7946544338152837
7,0.3,0.8275067209053235
7,0.1,0.8175631889128026
7,0.01,0.8059280631893193
8,0.3,0.8409491414551041
8,0.1,0.8057457686494452
8,0.01,0.8129965589353975
9,0.3,0.845996093703339
9,0.1,0.8310288253447821
9,0.01,0.8038470639129774
10,0.3,0.8688787897042477
10,0.1,0.8299893280204198
10,0.01,0.8293041178303514
15,0.3,0.9351964815705107
15,0.1,0.8790126864246033
15,0.01,0.8781442147018408
20,0.3,0.981621748064008
20,0.1,0.9119449127892085
20,0.01,0.9001101719887605
30,0.3,0.9456755380667718
30,0.1,0.9358225910781273
30,0.01,0.8975196601860265
40,0.3,0.9635781129727695
40,0.1,0.9165868769695196
40,0.01,0.9316975617331105
50,0.3,0.9612566701601284
50,0.1,0.9511000927741724
50,0.01,0.9233422100094255
75,0.3,0.9612566701601284
75,0.1,0.9511000927741724
75,0.01,0.9209404958861985
100,0.3,0.9612566701601284
100,0.1,0.9511000927741724
100,0.01,0.9209404958861985
