epoch,batch_size,value
4,4,2.2318985227325374
4,8,2.2326825470782663
4,12,2.692795609970636
4,16,1.2739266354381462
4,32,2.2299664555597376
4,64,3.233447013198308
4,128,2.075738921722407
4,256,1.0690712763526988
6,4,2.320122872600573
6,8,1.8676842815114711
6,12,1.9686842713688757
6,16,3.420144364447296
6,32,1.7489182589963392
6,64,1.5385100997014391
6,128,0.8702639053188266
6,256,2.0758417834045133
10,4,1.1119128693219877
10,8,1.3612561847893505
10,12,1.024927014440337
10,16,1.9199183859248008
10,32,1.2375542917314357
10,64,0.8389635562435349
10,128,0.8730964690885434
10,256,1.2298032014681892
14,4,1.5025325653954755
14,8,0.6688309818307356
14,12,1.2327603089835275
14,16,2.0561635827411844
14,32,0.659504734944196
14,64,0.8791765250083329
14,128,2.17746033245697
14,256,1.1245059318318722
20,4,1.037296972173501
20,8,1.028250732453816
20,12,1.2788302061303776
20,16,1.5420977131195648
20,32,1.5997313420372532
20,64,1.5834707506446044
20,128,2.6954291761555527
20,256,1.203621946813393
40,4,0.7432013731863907
40,8,0.8480336981961555
40,12,0.8689899443937724
40,16,1.1259178438724984
40,32,1.0235938386199308
40,64,1.1796626785038542
40,128,0.7209505093119595
40,256,0.8048870690320206
