epoch,batch_size,value
4,4,1.793452249924286
4,8,0.7902752433081134
4,12,4.085157713394382
4,16,3.577813303161745
4,32,0.7857090053536183
4,64,1.3497971436641707
4,128,1.3891279783947617
4,256,1.1454341586075385
6,4,1.6515515872874988
6,8,1.7004257069008186
6,12,0.7804875778927904
6,16,2.8687704419648465
6,32,0.946218670737705
6,64,1.3311827185316418
6,128,2.096374774711747
6,256,0.9030975428701817
10,4,1.4988301472033074
10,8,1.1361578884619197
10,12,1.9577152899087367
10,16,1.8762245562811186
10,32,2.590100445875883
10,64,0.8874355412207722
10,128,1.0063812306249487
10,256,1.1108074985723853
14,4,0.9243860919702032
14,8,1.1144553537629476
14,12,1.012567549685453
14,16,0.7966526272434505
14,32,0.9031159662407559
14,64,2.22344346431977
14,128,0.8683247832830655
14,256,0.9455145521925463
20,4,1.166516800550981
20,8,0.787057622391479
20,12,1.0369944186054714
20,16,1.6062291314085337
20,32,2.0409917204601338
20,64,0.9005840674174657
20,128,1.2124732016929123
20,256,1.1393649883323118
40,4,0.770425818177608
40,8,0.794951847173188
40,12,0.9290592611915959
40,16,1.0474742240990804
40,32,0.7281949827946462
40,64,1.8292258720095247
40,128,0.806808769985096
40,256,0.7615598763304794
