epoch,batch_size,value
4,4,1.5667700464698997
4,8,2.198374521403458
4,12,0.9444656727655101
4,16,2.4820088901266484
4,32,2.8729377321353193
4,64,1.0382693989682832
4,128,1.5958787760390805
4,256,1.1068624912598322
6,4,2.2752077984146295
6,8,2.0611234976544592
6,12,2.860780235539451
6,16,2.5302996570119953
6,32,1.3498256029041462
6,64,1.000859456075933
6,128,1.0186587948688242
6,256,1.100539779471088
10,4,1.8849018307540144
10,8,1.2706922439052184
10,12,1.529599615812931
10,16,2.0693263059848155
10,32,0.8678315668892186
10,64,1.131219785959142
10,128,0.8857829269805899
10,256,1.5352863379223802
14,4,1.2872100425122168
14,8,1.5038383679819993
14,12,1.363745895105386
14,16,0.697061492833425
14,32,3.3381290543653868
14,64,0.780010782235082
14,128,3.289233026173583
14,256,1.6541564708481
20,4,0.7217206076752285
20,8,1.3788569446467211
20,12,1.402814817163406
20,16,1.6851652322167094
20,32,1.9175851048085137
20,64,1.4338114026879516
20,128,1.403837285858195
20,256,1.098127107822111
40,4,0.8243744800578432
40,8,0.8464243193894683
40,12,1.1186487247846866
40,16,1.182406959840418
40,32,0.6109558707810266
40,64,1.467638041554932
40,128,1.0253005541040505
40,256,1.255542927616676
