name;open;high;low;close;volume;marketCap;timestamp
"2781";143.6746342418;145.3490668009;143.6245963413;145.1753771968;1397821894;68029922060.2;"2024-09-22T17:00:00.000Z"
"2781";145.1753771968;145.1775390126;143.9622079877;144.4557216362;1348632985.92;67692669349.96;"2024-09-22T18:00:00.000Z"
"2781";144.4557216362;144.8529094156;143.4436201669;144.8003475845;1350943250.76;67853675516.76;"2024-09-22T19:00:00.000Z"
"2781";144.7993599302;145.1551787497;144.4657182421;144.4657182421;1378430377.67;67695657309.43;"2024-09-22T20:00:00.000Z"
"2781";144.4621985727;144.9569223627;142.796167827;142.796167827;1398749008.64;66914169873.12;"2024-09-22T21:00:00.000Z"
"2781";142.7945731726;145.4438439979;141.384610812;145.4241938763;1588575664.4;68146299071.7;"2024-09-22T22:00:00.000Z"
"2781";145.4239876908;145.6902653329;144.3449096964;144.8036532231;1597826978.93;67855579263.71;"2024-09-22T23:00:00.000Z"
"2781";144.8036532231;146.3660507878;142.6682720033;145.9535506991;1683977980.23;68395990687.51;"2024-09-23T00:00:00.000Z"
"2781";145.9535506991;147.4130327304;145.6967053442;146.563532428;1770859980.46;68682334076.69;"2024-09-23T01:00:00.000Z"
"2781";146.5646381496;146.844163006;145.9596973554;146.7292226262;1793956999.03;68759441657.38;"2024-09-23T02:00:00.000Z"
"2781";146.7292226262;148.9704343305;146.719070817;147.7319735886;1931938551.3;69229502815.29;"2024-09-23T03:00:00.000Z"
"2781";147.732346593;148.1473053872;146.7075101078;147.0767681246;1970009352.86;68922277452.57;"2024-09-23T04:00:00.000Z"
"2781";147.0767681246;147.0940709215;146.1847737716;146.6273809406;1985804358.07;68711676201.21;"2024-09-23T05:00:00.000Z"
"2781";146.6273809406;147.2452835859;146.6199404248;146.9673576457;1992090618.14;68870983987.51;"2024-09-23T06:00:00.000Z"
"2781";146.9673576457;146.9877605019;145.2479698332;145.3465491997;2029162470.36;68111439996.84;"2024-09-23T07:00:00.000Z"
"2781";145.3465491997;145.4929387933;143.5262098665;143.6754250033;2119973317.79;67328318994.44;"2024-09-23T08:00:00.000Z"
"2781";143.6764477125;144.9834913941;143.6764477125;144.6946182776;2109306596.18;67805917687.58;"2024-09-23T09:00:00.000Z"
"2781";144.6946182776;144.776963633;143.6300555833;144.0367710895;2113313547.73;67498561430;"2024-09-23T10:00:00.000Z"
"2781";144.0387603855;144.0428336698;143.2068231573;143.4766819795;2138731316.11;67235152705.52;"2024-09-23T11:00:00.000Z"
"2781";143.4766819795;143.5896647102;142.831392987;143.0165755794;2186287737.6;67027144196.45;"2024-09-23T12:00:00.000Z"
"2781";143.0328235033;143.7231092161;142.7067323801;143.128712322;2213087825.09;67072066665.19;"2024-09-23T13:00:00.000Z"
"2781";143.128712322;145.1616496514;143.0286263769;143.7627020364;2325832905.87;67369147490.27;"2024-09-23T14:00:00.000Z"
"2781";143.7627020364;144.8288261766;142.8389662826;144.5221815083;2395313220.93;67725034574.48;"2024-09-23T15:00:00.000Z"
"2781";144.4743529699;144.7976410849;143.4818254351;143.4818254351;0;0;"2024-09-23T16:00:00Z"
