epoch,batch_size,hours,value
4,4,21,0.9574029965859339
4,8,21,0.881280761298906
4,12,21,0.865627220857869
4,16,21,0.8496679096009832
4,32,21,0.8295564841488783
4,64,21,0.8582236103703915
4,128,21,0.9242460564379971
4,256,21,1.0382728349447323
6,4,21,1.0243050877131972
6,8,21,0.8943054011162397
6,12,21,0.8480223613718939
6,16,21,0.8164113472093528
6,32,21,0.7915113718839786
6,64,21,0.80301463314364
6,128,21,0.9000148685251456
6,256,21,1.0133311297592895
10,4,21,1.564840244126593
10,8,21,0.9444258201458642
10,12,21,1.0363295368579726
10,16,21,1.0122478772770085
10,32,21,0.8200378682890568
10,64,21,0.7845418399589278
10,128,21,0.8511489299840665
10,256,21,0.8439978255874938
14,4,21,1.5975524987291982
14,8,21,0.9704262216243471
14,12,21,1.3049914807474048
14,16,21,1.1013372869848228
14,32,21,0.9742296996301678
14,64,21,0.7906238136608328
14,128,21,0.8041392912997842
14,256,21,0.8384638098649205
20,4,21,1.986437023025985
20,8,21,1.3649810250487735
20,12,21,1.485703109525038
20,16,21,1.4158934374135757
20,32,21,1.6376158030906296
20,64,21,0.7877705847700268
20,128,21,0.7678662614876349
20,256,21,0.9083119560903593
40,4,21,1.3707262382367258
40,8,21,1.3394357189613997
40,12,21,2.227548262891915
40,16,21,2.2456704891820447
40,32,21,1.334908486646658
40,64,21,0.8486295881452481
40,128,21,0.7626230133840609
40,256,21,0.8045485411844147
