epoch,batch_size,hours,value
4,4,14,0.9833438158543888
4,8,14,0.8122853435822034
4,12,14,0.7710565658305676
4,16,14,0.7994376146612553
4,32,14,0.8003823167840408
4,64,14,0.7949766195583047
4,128,14,0.7974481711001695
4,256,14,0.8180850769237193
6,4,14,1.601306528380361
6,8,14,1.0493383011825663
6,12,14,0.748206242995935
6,16,14,0.7432713902323883
6,32,14,0.7905026940666247
6,64,14,0.7936450029831338
6,128,14,0.8493728277794321
6,256,14,0.8871687909064622
10,4,14,1.9292763403111854
10,8,14,1.3529157720108405
10,12,14,0.7933796601278331
10,16,14,0.7370331791840494
10,32,14,1.0089868982555406
10,64,14,0.7853622819717231
10,128,14,0.7719423845305512
10,256,14,0.8162131710676112
14,4,14,2.4057369765552
14,8,14,1.6966512121351145
14,12,14,0.7151430987867241
14,16,14,1.0805729364390728
14,32,14,0.9604036588317498
14,64,14,0.914413955206987
14,128,14,0.7464073589889944
14,256,14,0.7713668111376211
20,4,14,1.7482880014720192
20,8,14,1.5802341563741533
20,12,14,0.7684844742936678
20,16,14,1.377311392817007
20,32,14,1.8187936454959615
20,64,14,0.7492809451185101
20,128,14,0.7079506760041743
20,256,14,0.7644138916851672
40,4,14,1.8887086321504425
40,8,14,1.0299809910664
40,12,14,0.9279461951624691
40,16,14,2.7050868460187925
40,32,14,1.5003945570230766
40,64,14,0.7009080332401764
40,128,14,0.7930768345460902
40,256,14,0.7359599124857289
