epoch,batch_size,hours,value
4,4,10,1.0503504913970911
4,8,10,0.7686252441835723
4,12,10,0.722883260785346
4,16,10,0.7330167540925686
4,32,10,0.8643716010748118
4,64,10,0.7374299484804735
4,128,10,0.7582762529687279
4,256,10,0.8751778267592932
6,4,10,1.6310709421918825
6,8,10,0.8031721099148393
6,12,10,0.7813579971355811
6,16,10,0.7837045698619363
6,32,10,0.9397265118205607
6,64,10,0.7539769864082757
6,128,10,0.7467109721452316
6,256,10,0.8666680481288331
10,4,10,2.2957664159742994
10,8,10,0.7207620892743447
10,12,10,0.8311492323823105
10,16,10,0.8663549147306011
10,32,10,0.7320891621935335
10,64,10,0.7186494311850676
10,128,10,0.7222740863678458
10,256,10,0.8157282508510537
14,4,10,2.309697265615735
14,8,10,0.7180067791181138
14,12,10,1.1519339065281347
14,16,10,1.0528544054472726
14,32,10,1.4917876874640164
14,64,10,0.8396416652034762
14,128,10,0.6876857100351578
14,256,10,0.7063492596577984
20,4,10,2.028476488553621
20,8,10,0.7504515879835453
20,12,10,1.2152628968752832
20,16,10,1.7379396048335938
20,32,10,1.5284804044545068
20,64,10,0.7313936116080386
20,128,10,0.6930886539833471
20,256,10,0.7470415194995491
40,4,10,1.7594384210444354
40,8,10,0.8840716260878222
40,12,10,1.1008757424749411
40,16,10,1.9864471375706085
40,32,10,1.6155404300918652
40,64,10,0.67410558037708
40,128,10,0.7415530846532271
40,256,10,0.7008197452399616
