epoch,batch_size,hours,value
4,4,12,0.9524346461563322
4,8,12,0.7957934871673678
4,12,12,0.7836300255377144
4,16,12,0.7593666572001636
4,32,12,0.7853724518379845
4,64,12,0.789932298780908
4,128,12,0.8345333662061897
4,256,12,0.9238663721368165
6,4,12,2.323599702750603
6,8,12,0.757509718093116
6,12,12,0.740959603154261
6,16,12,0.7306517348219951
6,32,12,1.098632701548046
6,64,12,0.7379716104192907
6,128,12,0.7866007986262545
6,256,12,0.8065618700465981
10,4,12,2.628072648288598
10,8,12,1.0359110278145491
10,12,12,0.804684525973651
10,16,12,0.9160759829935387
10,32,12,0.8134095951146567
10,64,12,0.7125426719582006
10,128,12,0.8010081496002016
10,256,12,0.7739390758312055
14,4,12,2.4873913276278863
14,8,12,1.1587033770127297
14,12,12,0.822395124001611
14,16,12,1.1804356819662944
14,32,12,1.2081219327811235
14,64,12,0.7565761077398432
14,128,12,0.7211050167185067
14,256,12,0.7776122436555113
20,4,12,2.417606594766412
20,8,12,1.1342268186642017
20,12,12,0.9270775576658103
20,16,12,1.4518461450192177
20,32,12,1.5917395143225002
20,64,12,0.7069505284431508
20,128,12,0.7369869951454308
20,256,12,0.7354743390941219
40,4,12,1.6828310475195114
40,8,12,0.8915019471821679
40,12,12,1.4334274639499167
40,16,12,2.478672251130947
40,32,12,1.5873495769370842
40,64,12,0.7069815962126593
40,128,12,0.7579574014498477
40,256,12,0.7093381675004299
