max_depth,eta,valor
1,0.3,3.1580891212408377
1,0.1,1.372366550586067
1,0.01,0.7677377530227908
2,0.3,0.8877859376157149
2,0.1,0.9853460069514385
2,0.01,0.777015696909776
3,0.3,0.9024577751052365
3,0.1,0.8543007290478802
3,0.01,0.7558400191016543
4,0.3,0.8842187985574026
4,0.1,0.7650877394353104
4,0.01,0.7518131683647281
5,0.3,0.8136802011032581
5,0.1,0.7540891505724605
5,0.01,0.7466743486081565
6,0.3,0.8081822751044259
6,0.1,0.7629196373811449
6,0.01,0.7541736112804978
7,0.3,0.8162082460456039
7,0.1,0.7717026274578809
7,0.01,0.763251054947095
8,0.3,0.8190570389567914
8,0.1,0.7809472788531878
8,0.01,0.7692870803620543
9,0.3,0.8436927107273131
9,0.1,0.7937763856563116
9,0.01,0.7688285324529605
10,0.3,0.8656303170757811
10,0.1,0.8010769704920514
10,0.01,0.779835464850818
15,0.3,0.913169625734518
15,0.1,0.8284160738209491
15,0.01,0.8098009683248121
20,0.3,0.9202655219687205
20,0.1,0.852513254110099
20,0.01,0.8225193235904593
30,0.3,0.9118535750441245
30,0.1,0.8567190606273238
30,0.01,0.8254242076777153
40,0.3,0.9180345404121094
40,0.1,0.8542630823277062
40,0.01,0.832003285502129
50,0.3,0.9195846931369114
50,0.1,0.8500011125865453
50,0.01,0.8298233066080992
75,0.3,0.9195879705696287
75,0.1,0.8500661524852451
75,0.01,0.8292683725062002
100,0.3,0.9195879705696287
100,0.1,0.8500661524852451
100,0.01,0.8292043228914436
