max_depth,eta,valor
1,0.3,3.160962073106689
1,0.1,1.3800865269711833
1,0.01,0.7648153845829835
2,0.3,0.9036423713095284
2,0.1,0.9739716926276771
2,0.01,0.7735604000367178
3,0.3,0.9512801438304168
3,0.1,0.8139867891433694
3,0.01,0.7573671360461747
4,0.3,0.9098972270677704
4,0.1,0.7735581290488206
4,0.01,0.7516879576690352
5,0.3,0.804298504558206
5,0.1,0.7522575795624306
5,0.01,0.7459161119573483
6,0.3,0.7805237097955474
6,0.1,0.7525603133694823
6,0.01,0.7463828517969284
7,0.3,0.8021653925265866
7,0.1,0.7469371965212764
7,0.01,0.7433654172305306
8,0.3,0.7900262879953249
8,0.1,0.754128264324677
8,0.01,0.7498993884614814
9,0.3,0.805957805900605
9,0.1,0.757724393446179
9,0.01,0.7554662892289272
10,0.3,0.8211613103031676
10,0.1,0.762284349813581
10,0.01,0.7614959656047873
15,0.3,0.8578697651409287
15,0.1,0.8030689551254534
15,0.01,0.7921554451152208
20,0.3,0.8661110375761399
20,0.1,0.8434010908972099
20,0.01,0.834758793213675
30,0.3,0.8913589017992166
30,0.1,0.8597583473104304
30,0.01,0.8279958902809125
40,0.3,0.9134837251144899
40,0.1,0.8566102336570365
40,0.01,0.8288626415920742
50,0.3,0.9135287732183748
50,0.1,0.8554085794580801
50,0.01,0.8270648678181596
75,0.3,0.9108677957221786
75,0.1,0.858529761542314
75,0.01,0.8267487808727146
100,0.3,0.9108677957221786
100,0.1,0.858529761542314
100,0.01,0.8267487808727146
