max_depth,eta,valor
1,0.3,3.1692825241716336
1,0.1,1.4468458623551785
1,0.01,0.7682052292917547
2,0.3,0.8728549775997753
2,0.1,1.2050294849432102
2,0.01,0.7642914582565562
3,0.3,0.8857225342957202
3,0.1,0.8055876004289536
3,0.01,0.7504966879575056
4,0.3,0.8945583094996566
4,0.1,0.758637666913621
4,0.01,0.7426187335706481
5,0.3,0.7953000525498675
5,0.1,0.7425009968013885
5,0.01,0.7362846679292568
6,0.3,0.8121342882502495
6,0.1,0.7487007939241576
6,0.01,0.746267283416501
7,0.3,0.8250871391330347
7,0.1,0.763781445866999
7,0.01,0.7546775764098999
8,0.3,0.8364482086340509
8,0.1,0.7685076010686384
8,0.01,0.7615774132360571
9,0.3,0.8568072836011119
9,0.1,0.7811613332257258
9,0.01,0.7714390524271394
10,0.3,0.8560840578767372
10,0.1,0.7730387943241619
10,0.01,0.7769512463616133
15,0.3,0.8953474119141569
15,0.1,0.8156693518644911
15,0.01,0.810445441740976
20,0.3,0.934671045171164
20,0.1,0.841161387946282
20,0.01,0.8191013139454423
30,0.3,0.9407604613840173
30,0.1,0.8281067197260519
30,0.01,0.8359255834110907
40,0.3,0.9289185994367917
40,0.1,0.8357262927006168
40,0.01,0.8260549220819545
50,0.3,0.9355369413408958
50,0.1,0.8386973806420499
50,0.01,0.8268514613153076
75,0.3,0.9349557726463308
75,0.1,0.8387400032817042
75,0.01,0.8268853763018267
100,0.3,0.9349557726463308
100,0.1,0.8389104307423201
100,0.01,0.8268248729089689
