max_depth,eta,valor
1,0.3,3.159879242451904
1,0.1,1.3500574037701123
1,0.01,0.7644503463202881
2,0.3,0.8472237560307855
2,0.1,0.8986260945496064
2,0.01,0.7675530607809337
3,0.3,0.8571448249680097
3,0.1,0.7929115096895615
3,0.01,0.7508264135202449
4,0.3,0.8493481913707268
4,0.1,0.7601477343719385
4,0.01,0.7423543942505593
5,0.3,0.7839461081855792
5,0.1,0.744303298033185
5,0.01,0.7370381657648196
6,0.3,0.7681516538466007
6,0.1,0.7410942225868364
6,0.01,0.7350885189899566
7,0.3,0.7682927473289247
7,0.1,0.7396622337252562
7,0.01,0.7342207709777104
8,0.3,0.7729708688738176
8,0.1,0.7423658432458679
8,0.01,0.7371083927044634
9,0.3,0.7923974024651479
9,0.1,0.7486152819818688
9,0.01,0.7435276025687473
10,0.3,0.7773211641458605
10,0.1,0.7477404830934016
10,0.01,0.7471015673600738
15,0.3,0.8329668799068808
15,0.1,0.7857185181031764
15,0.01,0.7803029804458602
20,0.3,0.8891267188913173
20,0.1,0.8365992073464081
20,0.01,0.8451173843532818
30,0.3,0.9479765604285736
30,0.1,0.9080223376867058
30,0.01,0.892469423276818
40,0.3,0.9624916605939929
40,0.1,0.9076249050651791
40,0.01,0.8984988947098255
50,0.3,0.966595098043853
50,0.1,0.9085554601575374
50,0.01,0.8983697716291378
75,0.3,0.966584951184446
75,0.1,0.9097990115615583
75,0.01,0.8995653210621836
100,0.3,0.966584951184446
100,0.1,0.9097990115615583
100,0.01,0.8996435653832097
