epoch,batch_size,value
4,4,4.113988740194774
4,8,1.1169746128285631
4,12,3.854171509889339
4,16,3.441299360816724
4,32,1.492195288607783
4,64,3.8206822328553205
4,128,1.1746067468617156
4,256,1.4968779767614646
6,4,3.2584526900276383
6,8,0.6920469191482715
6,12,3.417368981762702
6,16,3.735682645362854
6,32,1.2842737480120552
6,64,1.35853186074264
6,128,1.843586919183976
6,256,1.7393055893060234
10,4,2.2795247479026317
10,8,0.9136981843267842
10,12,1.6679430850532966
10,16,0.7833202526239538
10,32,0.8725725501062822
10,64,1.5572169683580392
10,128,2.141117395570049
10,256,2.099564057654401
14,4,2.286770909091124
14,8,1.5084229948211756
14,12,0.8942248957285795
14,16,1.739464656790604
14,32,1.2617807990742504
14,64,3.042968097742878
14,128,10.029148032257124
14,256,2.9900313993399106
20,4,2.7101849790037478
20,8,1.6684264981032788
20,12,1.2498031569810022
20,16,0.8939759067474705
20,32,0.6336994937254218
20,64,1.9480345883017935
20,128,1.8731518823293845
20,256,1.2185798468746132
40,4,0.7963211204983864
40,8,2.1180446868804115
40,12,1.2278516067482825
40,16,1.1081168743218694
40,32,1.0351952661088937
40,64,0.933753682667354
40,128,1.4332269462417728
40,256,0.987120286692739
