epoch,batch_size,value
4,4,3.260675683827335
4,8,4.790345761471889
4,12,7.546308381203204
4,16,1.1604840518894275
4,32,2.6947284627978596
4,64,1.967467374155502
4,128,2.091470216425251
4,256,1.7823821657499874
6,4,2.044924384120545
6,8,2.284802223413143
6,12,1.8346308291674371
6,16,0.8124612305225893
6,32,0.6929353761069353
6,64,1.250363181412719
6,128,3.2450485610145243
6,256,6.38079022679828
10,4,2.267245876546165
10,8,0.9132457971444444
10,12,1.4883609097693877
10,16,2.2057331942598193
10,32,1.9493893786912155
10,64,1.1728135304923089
10,128,2.602143977638958
10,256,1.706397268256385
14,4,2.697092481719553
14,8,1.3415327535125314
14,12,1.030309769629674
14,16,1.019284062783103
14,32,0.9712170375271488
14,64,2.3219053244228087
14,128,6.0632141929584655
14,256,1.1953756010788836
20,4,2.807291304092759
20,8,0.9306259011902662
20,12,1.2804726506353965
20,16,0.7983143990274243
20,32,0.6989341331487385
20,64,1.007370995381496
20,128,0.8153623992678813
20,256,1.460483095985743
40,4,2.711561256987732
40,8,1.7871315775865833
40,12,1.5363231414578218
40,16,0.89768577755273
40,32,0.6555679857671058
40,64,1.0874435751398208
40,128,1.3813699529331351
40,256,1.0319269055041638
