epoch,batch_size,value
4,4,3.8674265579682636
4,8,1.6977377979145631
4,12,0.7980344991106525
4,16,0.9644902140542295
4,32,1.32623312094977
4,64,1.325933745033803
4,128,1.0852530940597818
4,256,2.8024098739554613
6,4,3.0873929520461125
6,8,2.2473093893140152
6,12,1.2123021860842724
6,16,0.8857735128858039
6,32,0.7841448487979371
6,64,0.9079349589354304
6,128,1.9215867100994048
6,256,1.7123680272010424
10,4,2.247494000201009
10,8,1.3906542157569428
10,12,0.9962245355134751
10,16,1.1262002128550281
10,32,1.134755245591254
10,64,1.005711437754027
10,128,1.202026715244969
10,256,1.4304230778261633
14,4,2.478623325785543
14,8,1.2595458547153235
14,12,0.8215661691856504
14,16,1.2591162800244855
14,32,0.8381086578715542
14,64,0.765719277473996
14,128,1.7986127572047428
14,256,1.3599230456563314
20,4,0.7020158258943006
20,8,1.3402358574945679
20,12,1.1791020253831874
20,16,0.9691244519773032
20,32,0.8276792029273021
20,64,1.2643286785555576
20,128,0.6508655490779163
20,256,0.9412921926449883
40,4,2.6068532324431457
40,8,1.9746370064616245
40,12,1.3667453467505624
40,16,0.871013298747878
40,32,0.7708721498324278
40,64,0.8135941392022444
40,128,1.551549462399614
40,256,0.8208610983856215
