numhoras,max_depth,valor
1,1,20.990485778139597
1,2,23.281922603081096
1,3,8.551239990524975
1,4,4.681311965755052
1,5,2.2621862466381515
1,6,1.2381626630236469
1,7,0.8568882350320757
1,8,0.796252974310104
1,9,0.8142676186937309
1,10,0.838211686981675
1,14,0.8933513472668492
1,18,0.9026393352416433
1,20,0.9130356207217311
1,30,0.9148162557161847
1,40,0.90706122761233
1,50,0.90706122761233
1,75,0.90706122761233
1,100,0.90706122761233
1,150,0.90706122761233
1,200,0.90706122761233
1,300,0.90706122761233
1,400,0.90706122761233
2,1,20.982302367394524
2,2,23.302416068551214
2,3,8.553950191440657
2,4,4.657984875763285
2,5,2.2530899654907692
2,6,1.2301304857925015
2,7,0.848123963154323
2,8,0.7935003328519195
2,9,0.7932716280636998
2,10,0.8251229290019616
2,14,0.8627997353278145
2,18,0.8676216870374105
2,20,0.8712201287130215
2,30,0.8799655429737331
2,40,0.8761972739399129
2,50,0.8772188807045704
2,75,0.8772188807045704
2,100,0.8772188807045704
2,150,0.8772188807045704
2,200,0.8772188807045704
2,300,0.8772188807045704
2,400,0.8772188807045704
3,1,20.983922643400465
3,2,23.31517808046281
3,3,8.387042943223312
3,4,4.567124334467039
3,5,2.231724957718301
3,6,1.277384486174522
3,7,0.8443206044852696
3,8,0.7826813552879364
3,9,0.7859989848404006
3,10,0.7978706004627387
3,14,0.8385518237977998
3,18,0.8486544249793275
3,20,0.8541693399988954
3,30,0.8496610140398351
3,40,0.8494535636754255
3,50,0.8494535636754255
3,75,0.8494535636754255
3,100,0.8494535636754255
3,150,0.8494535636754255
3,200,0.8494535636754255
3,300,0.8494535636754255
3,400,0.8494535636754255
4,1,20.993656584488043
4,2,23.285670684436155
4,3,8.505432068203293
4,4,4.688339269902668
4,5,2.260246797437519
4,6,1.2398386601892453
4,7,0.8486618566046399
4,8,0.7970799066876848
4,9,0.7962553406789598
4,10,0.820390021726862
4,14,0.8415459411079884
4,18,0.8528742958696239
4,20,0.8458007309550365
4,30,0.857800203809678
4,40,0.8549717804380651
4,50,0.8549717804380651
4,75,0.8549717804380651
4,100,0.8549717804380651
4,150,0.8549717804380651
4,200,0.8549717804380651
4,300,0.8549717804380651
4,400,0.8549717804380651
5,1,21.00687411268304
5,2,23.295848571163148
5,3,8.547323438067696
5,4,4.677111057190648
5,5,2.2795420457803433
5,6,1.257767373316564
5,7,0.8508514076573819
5,8,0.7853053158042627
5,9,0.7984203713944762
5,10,0.8099402001908519
5,14,0.8315746266129872
5,18,0.8350367622343211
5,20,0.8354892157804635
5,30,0.8424125835555548
5,40,0.8404690293438417
5,50,0.8404690293438417
5,75,0.8404690293438417
5,100,0.8404690293438417
5,150,0.8404690293438417
5,200,0.8404690293438417
5,300,0.8404690293438417
5,400,0.8404690293438417
6,1,20.99294125012379
6,2,23.251531751763395
6,3,8.479938867019596
6,4,4.657111133390036
6,5,2.2376542431226736
6,6,1.256538078678916
6,7,0.8565323566197472
6,8,0.7943726187109017
6,9,0.8002531128513728
6,10,0.8012172637114015
6,14,0.8311257362006462
6,18,0.8382300363764951
6,20,0.8414191389906557
6,30,0.8454510966352746
6,40,0.8434726724766843
6,50,0.8434726724766843
6,75,0.8434726724766843
6,100,0.8434726724766843
6,150,0.8434726724766843
6,200,0.8434726724766843
6,300,0.8434726724766843
6,400,0.8434726724766843
7,1,20.995046329917
7,2,23.271211613721412
7,3,8.423518547061567
7,4,4.595067689040786
7,5,2.2244723909062665
7,6,1.2462250373638954
7,7,0.8595930620517429
7,8,0.7875562855567015
7,9,0.7911982386216336
7,10,0.8022278482529264
7,14,0.8240526750685784
7,18,0.8326466235822709
7,20,0.8290752959052082
7,30,0.8362997341940834
7,40,0.8333622697583507
7,50,0.8333622697583507
7,75,0.8333622697583507
7,100,0.8333622697583507
7,150,0.8333622697583507
7,200,0.8333622697583507
7,300,0.8333622697583507
7,400,0.8333622697583507
8,1,20.995890446109637
8,2,23.25292992719961
8,3,8.48855990388304
8,4,4.649605813152259
8,5,2.251349464002354
8,6,1.233532061027299
8,7,0.856943356164844
8,8,0.7948873519997947
8,9,0.7990711566208116
8,10,0.8150762962565722
8,14,0.8323075878968472
8,18,0.8422772204043031
8,20,0.8429640304518954
8,30,0.8501550933157319
8,40,0.8463257184805207
8,50,0.8463257184805207
8,75,0.8463257184805207
8,100,0.8463257184805207
8,150,0.8463257184805207
8,200,0.8463257184805207
8,300,0.8463257184805207
8,400,0.8463257184805207
9,1,21.00439757332391
9,2,23.24169186892644
9,3,8.451427269845201
9,4,4.598474518733254
9,5,2.2218150930989458
9,6,1.2553711154412335
9,7,0.8604842910577788
9,8,0.7888977056710198
9,9,0.7909301038832315
9,10,0.802120993414059
9,14,0.8243244896758061
9,18,0.8332735405246551
9,20,0.8377105775049459
9,30,0.8366514711510873
9,40,0.8363511407792897
9,50,0.8363511407792897
9,75,0.8363511407792897
9,100,0.8363511407792897
9,150,0.8363511407792897
9,200,0.8363511407792897
9,300,0.8363511407792897
9,400,0.8363511407792897
10,1,21.01342507592939
10,2,23.296174074587853
10,3,8.466525830359961
10,4,4.628163224805846
10,5,2.242401381217274
10,6,1.252158614608804
10,7,0.8658874195053871
10,8,0.7969058615867233
10,9,0.7971046546974317
10,10,0.8026105391747569
10,14,0.8344340768586906
10,18,0.8446200125367169
10,20,0.8377758071401915
10,30,0.8356205066991846
10,40,0.8313165176549934
10,50,0.8313165176549934
10,75,0.8313165176549934
10,100,0.8313165176549934
10,150,0.8313165176549934
10,200,0.8313165176549934
10,300,0.8313165176549934
10,400,0.8313165176549934
15,1,20.998508770713524
15,2,23.22160372031618
15,3,8.533465626138206
15,4,4.6634771302326135
15,5,2.2260964440026605
15,6,1.2287406894727406
15,7,0.8526911043757515
15,8,0.7965864336135173
15,9,0.8006272678423665
15,10,0.8109521386793392
15,14,0.8358983908233253
15,18,0.842676745866611
15,20,0.8381726298921467
15,30,0.8401491985676506
15,40,0.8398649411014455
15,50,0.8398649411014455
15,75,0.8398649411014455
15,100,0.8398649411014455
15,150,0.8398649411014455
15,200,0.8398649411014455
15,300,0.8398649411014455
15,400,0.8398649411014455
20,1,21.001295995440564
20,2,23.225360061464624
20,3,8.519992273940838
