epoch,batch_size,hours,value
3,4,7,12.118024358062623
3,6,7,9.05187423656045
3,8,7,3.5850446277627332
3,12,7,0.9830013134186254
3,16,7,10.556736010781218
3,24,7,1.2149851591098235
3,32,7,3.2304142668764793
3,46,7,3.3611434847714943
3,64,7,2.017221648308759
3,96,7,2.700352193770885
3,128,7,4.448932724393531
3,256,7,1.3861978086472602
4,4,7,6.128285419081876
4,6,7,5.803844418798272
4,8,7,3.8634631106539294
4,12,7,7.093805859166201
4,16,7,7.287453331643939
4,24,7,0.8630278260110008
4,32,7,3.6045280530183894
4,46,7,3.6250427090599975
4,64,7,0.9879133626324492
4,96,7,1.512070667089144
4,128,7,4.763611625713157
4,256,7,10.711168597144864
5,4,7,10.036178015367279
5,6,7,4.588390694072175
5,8,7,5.024979095101643
5,12,7,3.1246439062164106
5,16,7,7.59001488563532
5,24,7,0.9785552885776448
5,32,7,0.9592511492225178
5,46,7,3.1580212450997736
5,64,7,1.0064932809008098
5,96,7,1.6924560697372415
5,128,7,6.8853775228274365
5,256,7,1.2784125920862588
6,4,7,5.86916714643551
6,6,7,4.8424205651695775
6,8,7,4.355452295395888
6,12,7,1.7050349689173085
6,16,7,7.608593510524231
6,24,7,1.529103108467201
6,32,7,0.9083652482797324
6,46,7,3.8710066469871385
6,64,7,1.208757162056642
6,96,7,2.6429615113034153
6,128,7,1.0868339960041264
6,256,7,5.231396503353699
7,4,7,7.431761667631697
7,6,7,1.0960860333417521
7,8,7,3.953427655113301
7,12,7,1.2067415311452623
7,16,7,3.780587590240122
7,24,7,4.0426457980395005
7,32,7,0.8955543359546363
7,46,7,0.8388248456391523
7,64,7,3.1377614461232985
7,96,7,3.1542289888267296
7,128,7,3.538488045880322
7,256,7,0.8173324252655156
8,4,7,5.8867625411734865
8,6,7,4.324213537678625
8,8,7,0.9263707238012551
8,12,7,0.9389399525628626
8,16,7,1.4847266742153855
8,24,7,0.7793700136740598
8,32,7,0.7995225438530676
8,46,7,0.9525024376420869
8,64,7,1.9652407968487915
8,96,7,1.0675152696197
8,128,7,6.615479525587633
8,256,7,2.428121563586252
9,4,7,6.021217743850759
9,6,7,4.239850781581793
9,8,7,2.990343683301948
9,12,7,0.8130586593889922
9,16,7,2.4796460062572545
9,24,7,0.8063810039553408
9,32,7,0.8111645327112128
9,46,7,1.0201896497890452
9,64,7,0.9238269143923821
9,96,7,1.0648615042418126
9,128,7,1.0707353766683738
9,256,7,2.3625565357344067
10,4,7,6.61281126647636
10,6,7,5.149578408831792
10,8,7,4.79036059863873
10,12,7,3.122760123049634
10,16,7,0.9039954613693119
10,24,7,3.1016332513575016
10,32,7,0.8512708446222234
10,46,7,1.2401347135469885
10,64,7,0.8533805453556356
10,96,7,4.02041548789926
10,128,7,0.9368701342568887
10,256,7,2.5100711210426794
11,4,7,3.7206669770175496
11,6,7,2.502575512718104
11,8,7,3.9147995674958027
11,12,7,2.186677884862976
11,16,7,0.8332134129219092
11,24,7,4.33132654853599
11,32,7,1.0065221351597864
11,46,7,0.7439036043388775
11,64,7,0.8048063516965381
11,96,7,10.196781842775131
11,128,7,4.9198747351135985
11,256,7,1.2171172569457158
12,4,7,2.3622603593352656
12,6,7,5.2761697613021985
12,8,7,2.606175388877446
12,12,7,1.5537835997082428
12,16,7,0.923747132035386
12,24,7,0.8159397136405745
12,32,7,1.678087248939076
12,46,7,0.8356478630565739
12,64,7,0.8093409160562828
12,96,7,1.2448243494968154
12,128,7,0.9740612356027011
12,256,7,1.10868291439284
13,4,7,10.422916147368982
13,6,7,4.350461284947945
13,8,7,0.8776643470015191
13,12,7,3.246340320034735
13,16,7,1.07235154485166
13,24,7,0.8315316853282965
13,32,7,1.3032787536684902
13,46,7,1.1127914427480365
13,64,7,0.8251430368918138
13,96,7,0.9916083238623611
13,128,7,1.235539455854417
13,256,7,1.6371439300050286
14,4,7,3.272420689470154
14,6,7,3.2838229172515305
14,8,7,1.0613907144564407
14,12,7,3.713988988539136
14,16,7,0.8147518252257645
14,24,7,0.7696531798609274
14,32,7,0.8237664683424946
14,46,7,0.7471882603763192
14,64,7,0.8098365826351299
14,96,7,1.0119513277754209
14,128,7,3.7640438361695616
14,256,7,9.620205049723584
15,4,7,8.642082059880003
15,6,7,4.934635325397568
15,8,7,2.909789434559371
15,12,7,0.7832713990954298
15,16,7,0.9651709462138333
15,24,7,0.8695178860893009
15,32,7,2.1348031805212164
15,46,7,1.2760033650940745
15,64,7,0.792965837111676
15,96,7,1.105046268347876
15,128,7,1.7001110881239319
15,256,7,1.6275042783029523
