epoch,batch_size,hours,value
4,4,14,8.817410941763901
4,8,14,2.4548770252939773
4,12,14,7.872093234973971
4,16,14,9.794825705550824
4,32,14,1.2279826403644567
4,64,14,1.1372428930100082
4,128,14,1.6622215545371541
4,256,14,1.8398470335512247
6,4,14,8.176667987640226
6,8,14,1.2392238807971732
6,12,14,1.4856802099151043
6,16,14,1.0908896945580553
6,32,14,0.996351957371116
6,64,14,1.0496051151850265
6,128,14,1.685498787201161
6,256,14,1.4538377474172182
10,4,14,1.8210983156734386
10,8,14,2.060695795794118
10,12,14,1.3577341990377807
10,16,14,0.9291650639177976
10,32,14,0.9600856009523963
10,64,14,0.9230555127002084
10,128,14,1.2274089303578106
10,256,14,1.6173158109217978
14,4,14,1.1437849846778334
14,8,14,0.9071745537305557
14,12,14,2.36668446934354
14,16,14,0.8455704985478136
14,32,14,0.9216179007177673
14,64,14,0.9570973442511911
14,128,14,1.1543667149943375
14,256,14,1.9595109768603611
20,4,14,10.135005327897991
20,8,14,5.054834397410809
20,12,14,2.286732060897808
20,16,14,0.8051610908871996
20,32,14,0.8961736445349505
20,64,14,0.8269238897231999
20,128,14,1.0461331240059808
20,256,14,1.4768935075597787
40,4,14,3.6181837549442437
40,8,14,2.8876050500874535
40,12,14,1.046018954171264
40,16,14,0.7534387910258897
40,32,14,0.7992610929032725
40,64,14,0.9400210538024336
40,128,14,0.9690246480717054
40,256,14,1.3954831639583518
