epoch,batch_size,hours,value
4,4,5,4.417218807135652
4,8,5,1.1717363378382546
4,12,5,3.3106256196395902
4,16,5,0.9318327000613358
4,32,5,0.866240877081421
4,64,5,0.8573194793660727
4,128,5,1.0692823271417913
4,256,5,1.9873770060325986
6,4,5,3.1406358050859744
6,8,5,0.9545567503710184
6,12,5,0.8656194100633905
6,16,5,0.8375692221386097
6,32,5,0.7673733074120602
6,64,5,0.886735559445069
6,128,5,0.9864374969720535
6,256,5,0.9609002421613442
10,4,5,1.1792540695866809
10,8,5,0.7457767996846187
10,12,5,0.8700489401427977
10,16,5,0.8333634332370319
10,32,5,1.2840804180586642
10,64,5,0.8189284854017022
10,128,5,1.0298589790977217
10,256,5,0.9516417945834365
14,4,5,3.0398199000684114
14,8,5,0.7489471815534985
14,12,5,0.8237946984383732
14,16,5,0.8172424134629245
14,32,5,0.8091206103218895
14,64,5,0.7739489886865402
14,128,5,0.9150950232044005
14,256,5,0.9535120149217431
20,4,5,4.40909471385946
20,8,5,0.7043751382805715
20,12,5,0.7363090189757412
20,16,5,1.0171659024131579
20,32,5,0.7337666315117551
20,64,5,0.7234016749904473
20,128,5,0.8418594915629826
20,256,5,1.3034402141372565
40,4,5,5.282884467357767
40,8,5,2.2083860214970317
40,12,5,2.4887637616527325
40,16,5,0.8032152645387067
40,32,5,0.7087826662598073
40,64,5,0.7118075967046144
40,128,5,0.7839437456173518
40,256,5,0.8859359991276947
