numhoras,max_depth,valor
1,1,20.990485778139597
1,2,23.281922603081096
1,3,8.560335778372007
1,4,4.681903399621015
1,5,2.261372142538931
1,6,1.2483762996551395
1,7,0.8729935314500291
1,8,0.7851510968630593
1,9,0.7791437185511273
1,10,0.7897763992721305
1,14,0.8259920291249766
1,18,0.8433935923015227
1,20,0.8513189135121955
1,30,0.8554017904243502
1,40,0.8559177666022251
1,50,0.8559177666022251
1,75,0.8559177666022251
1,100,0.8559177666022251
1,150,0.8559177666022251
1,200,0.8559177666022251
1,300,0.8559177666022251
1,400,0.8559177666022251
2,1,20.982302367394517
2,2,23.302416068551217
2,3,8.562313939916963
2,4,4.654782846282874
2,5,2.249856878149308
2,6,1.256608291355496
2,7,0.8656608968757312
2,8,0.7782057991495871
2,9,0.7790000096534146
2,10,0.7818887025391213
2,14,0.8109034518987396
2,18,0.8256580500072095
2,20,0.8234080243495362
2,30,0.8268595496354237
2,40,0.8259419691884389
2,50,0.8259419691884389
2,75,0.8259419691884389
2,100,0.8259419691884389
2,150,0.8259419691884389
2,200,0.8259419691884389
2,300,0.8259419691884389
2,400,0.8259419691884389
3,1,20.983922643400444
3,2,23.315178080462818
3,3,8.402133000706138
3,4,4.566778605510539
3,5,2.2319473505281775
3,6,1.284145521892498
3,7,0.8844910109640848
3,8,0.7770479361029067
3,9,0.7681179725377045
3,10,0.7720251946423009
3,14,0.7957872425409851
3,18,0.8052023158327941
3,20,0.8090978521073084
3,30,0.8108857257989137
3,40,0.8099062994124748
3,50,0.8099062994124748
3,75,0.8099062994124748
3,100,0.8099062994124748
3,150,0.8099062994124748
3,200,0.8099062994124748
3,300,0.8099062994124748
3,400,0.8099062994124748
4,1,20.993656584487997
4,2,23.285670684436163
4,3,8.49195821602032
4,4,4.684917694889953
4,5,2.258604155708141
4,6,1.2547099576326417
4,7,0.8742720516547363
4,8,0.778721550882817
4,9,0.776501429552167
4,10,0.7850289407364772
4,14,0.8013144241663257
4,18,0.8136742581750983
4,20,0.8154265846731654
4,30,0.8124535556580388
4,40,0.8121620534032237
4,50,0.8121620534032237
4,75,0.8121620534032237
4,100,0.8121620534032237
4,150,0.8121620534032237
4,200,0.8121620534032237
4,300,0.8121620534032237
4,400,0.8121620534032237
5,1,21.006874112683047
5,2,23.295848571163123
5,3,8.557736094040056
5,4,4.677111057190655
5,5,2.2795420457803455
5,6,1.2614563148386158
5,7,0.8664687052966462
5,8,0.7791507367880994
5,9,0.7771105392058072
5,10,0.7877498915450788
5,14,0.8080059213473523
5,18,0.8185025875096921
5,20,0.8189501679888318
5,30,0.8191637431722132
5,40,0.8190533098562726
5,50,0.8196556913495261
5,75,0.8196556913495261
5,100,0.8196556913495261
5,150,0.8196556913495261
5,200,0.8196556913495261
5,300,0.8196556913495261
5,400,0.8196556913495261
6,1,20.992941250123785
6,2,23.2515317517634
6,3,8.483564154447615
6,4,4.665090041601472
6,5,2.2340805086362088
6,6,1.26281909487358
6,7,0.8776128469513271
6,8,0.7853685356979649
6,9,0.7817122045280501
6,10,0.785817515792325
6,14,0.8060291126517174
6,18,0.8141064931775719
6,20,0.8152500809624754
6,30,0.8148765098852027
6,40,0.8163412790617639
6,50,0.8163412790617639
6,75,0.8163412790617639
6,100,0.8163412790617639
6,150,0.8163412790617639
6,200,0.8163412790617639
6,300,0.8163412790617639
6,400,0.8163412790617639
7,1,20.99504632991697
7,2,23.271211613721412
7,3,8.423518547061585
7,4,4.595530080247558
7,5,2.224691899123916
7,6,1.2507836446022051
7,7,0.8745818017964889
7,8,0.7883139813031705
7,9,0.783032696636507
7,10,0.7936790892828465
7,14,0.8155997514254298
7,18,0.8230117974278491
7,20,0.8235547342210239
7,30,0.8237377425922507
7,40,0.8210842902022724
7,50,0.8210842902022724
7,75,0.8210842902022724
7,100,0.8210842902022724
7,150,0.8210842902022724
7,200,0.8210842902022724
7,300,0.8210842902022724
7,400,0.8210842902022724
8,1,20.995890446109637
8,2,23.2529299271996
8,3,8.488559903883067
8,4,4.649605813152252
8,5,2.2513494640023595
8,6,1.2484147920063462
8,7,0.8741172678364124
8,8,0.7856518439670784
8,9,0.7860308132572963
8,10,0.7943644376633825
8,14,0.8126536849537813
8,18,0.8207918051693905
8,20,0.821687009299905
8,30,0.8237785832935026
8,40,0.8218385141008333
8,50,0.8218385141008333
8,75,0.8218385141008333
8,100,0.8218385141008333
8,150,0.8218385141008333
8,200,0.8218385141008333
8,300,0.8218385141008333
8,400,0.8218385141008333
9,1,21.004397573323875
9,2,23.241691868926427
9,3,8.451427269845208
9,4,4.60414613668871
9,5,2.2218150930989466
9,6,1.2587834795756818
9,7,0.8841602295717449
9,8,0.785344528874969
9,9,0.7828205861741276
9,10,0.7918453215730278
9,14,0.8123518738708668
9,18,0.8173302792351826
9,20,0.8208611447048821
9,30,0.8191306478041669
9,40,0.8173617686269656
9,50,0.8173617686269656
9,75,0.8173617686269656
9,100,0.8173617686269656
9,150,0.8173617686269656
9,200,0.8173617686269656
9,300,0.8173617686269656
9,400,0.8173617686269656
10,1,21.013425075929366
10,2,23.296174074587846
10,3,8.466525830359945
10,4,4.628163224805847
10,5,2.242401381217269
10,6,1.2588864788355025
10,7,0.8797778112344726
10,8,0.7870395739841619
10,9,0.7840848684311416
10,10,0.790483696955525
10,14,0.817139309435518
10,18,0.8223463777897008
10,20,0.8221549373996672
10,30,0.8239959502642857
10,40,0.8288228622461323
10,50,0.8288463462563664
10,75,0.8288463462563664
10,100,0.8288463462563664
10,150,0.8288463462563664
10,200,0.8288463462563664
10,300,0.8288463462563664
10,400,0.8288463462563664
15,1,20.998508770713475
15,2,23.221603720316164
15,3,8.533401321982696
15,4,4.663477130232613
15,5,2.2255355623764643
15,6,1.2521220340921677
15,7,0.8925415978547898
15,8,0.8135188174713166
15,9,0.8180765824288002
15,10,0.812163939871406
15,14,0.8355671613263103
15,18,0.8398943444004252
15,20,0.8378449280357047
15,30,0.8415454334544815
15,40,0.845261734486177
15,50,0.845261734486177
15,75,0.845261734486177
15,100,0.845261734486177
15,150,0.845261734486177
15,200,0.845261734486177
15,300,0.845261734486177
15,400,0.845261734486177
20,1,21.00129599544057
20,2,23.225360061464624
20,3,8.530833661786314
