epoch,batch_size,value
4,4,3.6176760839030058
4,8,2.338044805521528
4,12,4.127717934324563
4,16,5.997883994302757
4,32,8.634228114858663
4,64,3.794478990843592
4,128,3.0223856699454643
4,256,10.82857178886746
6,4,3.216632369758555
6,8,3.7655075777227798
6,12,2.7907853542026557
6,16,3.637247039709912
6,32,6.396286389735788
6,64,1.1985911568086827
6,128,3.7295146705669
6,256,2.750960539291602
10,4,3.2218374057684676
10,8,1.1866110072705864
10,12,2.0526848785410747
10,16,1.4916954305365748
10,32,0.9452480454387654
10,64,1.7985197980219267
10,128,3.862377841427579
10,256,1.8378646296177976
14,4,2.548638896233263
14,8,0.9287785001431544
14,12,1.7523294676758585
14,16,1.4343729611894478
14,32,1.5205463914093296
14,64,3.323755651723079
14,128,2.819880440167616
14,256,1.3165903562691792
20,4,2.893022099113419
20,8,0.8106680501060078
20,12,1.0744658066065411
20,16,0.6492791341530169
20,32,1.6582687369719085
20,64,1.0246340165536363
20,128,2.3879398267009906
20,256,1.7177683770983474
40,4,2.9085074339490147
40,8,0.7177587701586546
40,12,1.3720047550250027
40,16,0.7658024449247927
40,32,0.8005671859560942
40,64,0.9608942704304384
40,128,1.2034638897727354
40,256,1.9300463738826747
