epoch,batch_size,value
4,4,3.479654798602034
4,8,2.691683832831562
4,12,2.418122190921727
4,16,1.6588418475183861
4,32,0.9672930386687077
4,64,1.0004590952511085
4,128,1.16302946328338
4,256,4.090142595380174
6,4,2.6711797320085977
6,8,0.6422336676195007
6,12,0.9465219458876931
6,16,1.3386227071592351
6,32,0.9782519034481565
6,64,0.9339667660629489
6,128,2.439362663640861
6,256,2.3897101545810413
10,4,2.196928033107778
10,8,0.9486009878866177
10,12,1.179075003952668
10,16,0.7581357269192551
10,32,0.8345344688957805
10,64,0.7854389695180014
10,128,0.966952927615559
10,256,1.118137212204516
14,4,2.2780686536190187
14,8,0.8265227007567097
14,12,0.8371441133496453
14,16,0.7037925651862934
14,32,0.772572080442495
14,64,1.2585863355794344
14,128,1.630299602600296
14,256,1.0257617794548295
20,4,2.4945702353250296
20,8,1.496047634864973
20,12,0.9958901345183634
20,16,0.6052295385677369
20,32,0.6766749438635471
20,64,0.7372714373866641
20,128,0.9020317262629686
20,256,1.376907887298018
40,4,2.241229570902942
40,8,2.0270441333933387
40,12,1.172070331826931
40,16,0.6165064140991927
40,32,0.6235006685513128
40,64,0.6494979866350941
40,128,0.7445303549389387
40,256,0.8266707635234518
